trial,roc_auc_mean,roc_auc_std,value,contamination
0,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.08055008971708698
1,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.19190706135155092
2,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.15448476075761206
3,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.08699421459094547
4,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.19879555405412136
5,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.1767391989190842
6,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.06134354604683503
7,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.01328357549214763
8,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.16747726953155515
9,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.1822330415234934
10,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.029738019239331604
11,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.069641295946925
12,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.029343373815349648
13,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.0266176168907491
14,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.12459101300630318
15,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.05554366527190677
16,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.16929586464711216
17,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.11090287082744334
18,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.09823146236618636
19,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.07851926614885812
20,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.15409598321604173
21,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.1769854511184411
22,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.034526838260346936
23,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.030638662982729194
24,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.06373449765316747
25,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.17716007665783873
26,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.07448957001826684
27,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.14999442049919906
28,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.15131691419473323
29,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.07353069218845931
30,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.05620054445507121
31,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.06564371105828286
32,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.07231665702196477
33,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.16439596265901069
34,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.011091151075179204
35,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.1674316509624174
36,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.15106933853987403
37,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.1545174938830668
38,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.1445833352657576
39,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.17698074856030205
40,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.10602988919109256
41,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.15620187873897998
42,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.03389042386924254
43,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.14712474291390917
44,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.04516535048543809
45,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.13268463965099794
46,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.11156780685657784
47,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.1387443723450926
48,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.040496580433852604
49,0.5961233227452161,0.010527934410680501,0.5855953883345356,0.10716073732220396
